"","012618.SM1","012618.SM100","012618.SM101","012618.SM102","012618.SM104","012618.SM105","012618.SM106","012618.SM107","012618.SM110","012618.SM24","012618.SM33","012618.SM92","012618.SM97","012618.SM99","060619.SM66","060619.SM89","060619.SM92","060619.SM95","090918.SM113","090918.SM12","090918.SM44","090918.SM59","3.1","4.8.08","6.14","PT.11","PT.12","PT.16","PT.23","PT.28","PT.36","PT.40","PT.52","PT.55","PT.56","PT.57","PT.58","PT.6","PT.68","PT.7","PT.8","PT.9"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.07,0,0,0,0,0,10.35,0,42,10.02,0,0,7.9,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004",366.08,0,0,0,28,0,340,28,218,153,470.25,0,83,0,728.17,67,128,467,121,737,97.21,63,148.46,37.46,1805.15,752.44,0,79,0,0,0,0,0,1.77,0,0,0.97,0,0,0,125,37
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-008",0,0,0,0,3,0,0,0,4,0,64.04,0,0,0,0,0,0,0,0,0,0,0,0,13.79,0,0,22,12,8,0,2.98,0,0,0,0,0,2.67,0,0,0,0,4
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010",0,0,0,0,0,0,437,9,0,86,65.62,567,0,0,259.45,0,0,262,160,25,410.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lactonifactor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.9,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,27,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia",0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,106.44,0,0,0,0,0,119,223.85,182.4,71,334.49,69.46,0,63.16,32.18,0,0,66,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Moryella",0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,75,0,0,0,0,0,88.1,0,0,0,0,0,14,13.1,0,0,0,0,0,10.13,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.05,0,0,0,0,0,0,0,0,9.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Robinsoniella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia",1198.94,0,69,0,53,0,1184,35,0,367,8106.12,0,6626,0,909.86,1091,1023,313,482,510,849.36,2086,0,0,18855.62,2755.66,156,1188,103,25,472.09,52.77,344,308.21,70.47,22,136.87,35.91,485,100.07,743,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sellimonas",232.79,37,12,0,34,0,0,0,0,17,0,0,0,372,0,0,0,0,27,0,0,0,193.31,16.25,0,318.3,408,48,16,0,0,0,0,0,0,0,6.28,0,278,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Shuttleworthia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54,63,0,0,0,4.9,0,0,0,0,9,1.88,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tuzzerella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tyzzerella",0,33,1299,0,0,0,0,0,0,21,0,0,6,0,18.86,0,0,0,138,0,0,0,75.73,0,66.27,0,22,53,0,0,299.33,0,0,14.31,0,0,545.69,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UC5-1-2E3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.85,10.5,18,3.45,0,0,16.13,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__uncultured",57.85,0,0,0,21,0,49,0,0,0,309.79,113,0,40,69.37,0,37,100,0,0,353,0,0,28.71,60.97,15.04,0,22,21,40,131.33,76.29,0,45.04,58.08,108,24.18,52.51,109,24.85,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus",75.39,0,0,0,45,0,0,65,0,0,0,0,0,0,60.8,0,88,340,168,7,411.18,183,0,2131.63,0,1118.52,73,113,302,80,427.08,783.38,1412,336.7,132.37,133,114.22,45.45,1139,94.69,416,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;__;__",0,0,0,0,11,0,0,0,0,6,38.96,0,0,0,0,109,14,0,17,0,50.79,0,0,3.06,0,2.98,0,13,0,0,17.87,0,6,41.36,0,6,71.47,210.61,7,210.9,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__[Eubacterium]_coprostanoligenes_group",136.21,0,0,0,36,0,0,6,0,41,24.95,0,0,0,0,1782,136,0,780,0,90.55,55,206.63,31.62,0,109.9,484,242,262,371,1650.56,721.91,197,2325.05,145.78,171,1508.88,1466.66,151,1660.25,93,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus",135.58,0,157,0,92,6,1040,73,93,13,33.9,161,29,0,38.25,51,52,380,298,0,188.68,196,23.16,28.79,620.91,883.74,978,257,260,82,1175.29,885.99,576,69.67,93.5,46,8.16,84.1,472,230.18,1131,54
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UCG-008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.92,0,0,0,0,0,0,0,13.82,0,0,0,0,0,7.18,0,0,6.72,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UCG-009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,35,0,0,0,0,0,0,20.65,0,0,0,0,0,0,0,0,0,0,4.7,37.77,0,9.25,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ethanoligenenaceae;g__Acetanaerobacterium",6.65,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.61,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;__",0,0,0,0,0,0,0,0,0,0,8.67,4,0,0,0,165,0,12,0,3,78.65,0,47.95,7.12,0,8.93,0,0,4,0,286.26,0,23,2.55,10.31,0,4.81,0,0,6.7,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter",692.37,0,0,0,12,9,0,0,115,0,97.59,3,244,1212,0,80,151,57,224,16,375.11,62,0,13.43,303.56,22.23,251,36,4,39,152.3,0,0,34.7,0,0,44.42,190.73,0,96.48,141,114
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor",723.68,49,1535,0,12,104,119,48,563,20,103.62,296,666,816,274.42,18,51,0,104,50,37.39,0,1373.41,80.6,404.18,321.89,144,81,9,0,7.1,0,10,26.39,22.9,0,41.98,169.85,135,128.11,60,51
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas",0,0,0,0,16,0,0,0,14,0,7.92,0,0,0,0,36,3,0,0,0,143.37,0,1072.65,3.13,0,47.74,12,0,0,0,91,0,0,47.88,15.21,15,31.05,496.12,39,145.9,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group",0,0,0,0,12,0,0,34,0,22,114.27,0,0,0,0,535,114,76,47,0,431.19,13,0,0,0,0,0,0,766,53,125.31,0,0,764.94,667.04,0,1217.22,496.35,16,338.71,4,32
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter",380.24,0,0,0,34,0,17,4,8,0,162.27,0,12,98,0,63,101,35,143,19,193.94,0,588.97,14.63,0,112.8,206,77,0,0,0,0,0,18.66,2.88,0,8.89,249.09,34,667.72,11,71
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillospira",0,0,0,0,8,0,0,0,0,0,18.12,0,0,0,0,162,0,22,56,0,0,0,4125.74,16.35,0,34.68,8,6,0,0,64.42,0,0,0,0,0,0,196.71,7,680.85,0,13
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Papillibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27,0,0,0,0,5,4.3,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoflavonifractor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002",0,0,0,0,173,0,0,29,49,38,1382.63,106,0,0,0,4285,84,452,763,0,576.55,50,0,29.24,0,598.8,195,0,84,178,1570.87,16.71,129,925.39,192.11,685,1517.57,3937.62,0,1873.03,18,309
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-003",0,0,0,0,0,0,0,0,212,102,393.55,26,0,0,0,452,109,254,204,0,268.5,60,0,69.27,0,146.53,0,0,0,0,67.73,0,4,21.99,15.15,0,95.01,210.58,0,0,9,248
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005",11.36,0,0,0,122,0,0,0,0,0,253.61,0,0,3,0,2695,34,57,119,0,698.14,0,197.35,5.5,0,277.52,121,56,86,138,268.23,15.91,12,423.28,119.79,388,867.72,316.44,0,2085.53,10,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__uncultured",42.81,0,0,0,18,0,0,0,0,0,83.33,143,0,0,0,88,126,181,243,100,54.61,0,18.01,234.23,0,0,238,97,648,849,849.05,192.36,1028,1340.31,858.67,696,579.93,372.62,396,346.99,117,32
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospirales;g__Hydrogenoanaerobacterium",0,0,0,0,0,0,0,0,0,0,9.47,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.65,0,0,0,0,5,3.56,185.62,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;__",0,0,21,0,18,0,4,0,3,0,0,0,0,0,0,34,4,6,30,0,21.26,16,0,25.67,0,26.7,11,7,732,13,87.9,9.38,33,40.22,0,30,63.19,31,146,164.99,0,3
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__[Eubacterium]_siraeum_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,44.82,0,0,423.4,0,607.57,0,13,63,0,72.9,20.56,277,49.3,93.91,390,116.52,14.63,387,39.03,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerofilum",0,0,0,0,0,0,0,0,0,0,15.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus",0,6,0,0,0,0,0,0,0,0,32.56,12,0,34,0,3,4,0,0,0,10.25,0,253.57,0,0,28.81,0,0,0,0,262.28,0,0,25.16,0,9,64.44,268.34,0,21.63,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella",0,0,0,0,11,0,0,0,0,0,21.84,0,0,0,0,30,0,5,9,0,28.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.34,37.05,0,22.16,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-352",894.16,0,0,0,373,47,0,33,0,0,0,0,0,0,412.99,337,9643,0,903,2744,1874.36,0,0,15633.74,0,5167.6,2834,3793,11268,15078,5764.23,9634.47,14918,2140.83,0,8565,3845.8,1154.5,4343,12139.17,110,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Candidatus_Soleaferrea",8.5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,10,7,0,5.03,0,0,0,0,13.39,7,0,0,17,7.87,0,0,9.4,23.89,0,12.24,12.51,10,8.31,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Caproiciproducens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.27,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__DTU089",86.74,0,0,0,0,0,0,0,0,0,0,0,36,17,0,52,28,0,38,17,25.49,0,0,0,0,22.66,0,0,7,14,11.49,7.51,0,46.65,0,0,56.08,37.86,64,39.63,16,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium",7150.02,0,2806,28,4491,2252,1871,1122,17200,8900,4086.4,1013,0,0,3410.18,1268,12232,16127,4630,6265,5206.01,9053,694.36,6706.6,22409.96,20188.72,1800,16672,605,306,831.89,156.98,682,165.55,357.68,84,1344.06,2036.81,155,4677.27,6037,1376
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Fournierella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,11,0,15.82,0,0,0,12.41,0,0,0,0,0,161,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis",124.27,4,4,0,26,4,45,25,247,12,36.36,67,67,108,30.96,93,44,196,379,126,368.44,90,77.07,944.17,125.76,209.26,368,486,795,478,2130,735.3,110,875.15,6494.65,2800,8757.7,333.97,79,1102.39,273,468
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus",0,0,0,0,19,0,0,0,0,15,0,0,0,0,0,103,111,23,125,17,74.07,0,0,0,0,0,15,6,0,0,0,0,0,11.04,0,0,14.63,227.82,6,115.41,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Paludicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,8.41,0,0,9.68,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Phocea",7.55,0,0,0,0,0,0,0,0,0,12.12,0,0,15,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus",759.18,0,0,0,244,0,0,22,0,0,3.53,0,0,0,61.02,128,485,0,1200,70,1232.07,344,376.65,21.7,0,10457.49,1441,1472,140,1049,355.8,53.86,74,81.1,601.8,0,212.91,258.23,686,971.61,12,55
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum",3050.25,0,0,0,3766,0,16,362,947,5,0,3485,0,0,11236.7,4156,1609,2182,705,449,769.71,944,0,19420.04,0,14264.64,687,785,5404,7310,1224.3,9978.81,5606,1755.16,3081.91,3578,923.64,965.93,21526,6421.02,10298,2378
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1819",121.24,38,65,0,0,230,0,19,98,0,116.64,70,80,845,0,56,22,0,36,9,94.87,0,1579.85,26.41,0,0,118,8,204,38,53.23,27,0,874.05,160.19,36,126.22,739.3,125,127.9,14,118
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__uncultured",133.52,0,0,0,9,0,0,0,0,5,149.1,28,0,0,0,651,0,78,86,155,75.19,0,0,3.2,0,145.6,0,21,24,12,81.84,0,24,82.4,53.26,47,197.32,273.5,45,125.47,45,34
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010;g__UCG-010",0,0,0,0,3,0,0,0,0,0,5.07,0,0,0,0,767,0,0,0,0,118.4,0,0,0,0,0,0,0,6,7,287.92,0,3,204.62,0,10,231.18,275.88,3,507.95,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__uncultured;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__Peptococcus",0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,4.59,0,0,258,0,0,0,0,0,0,0,0.51,5.41,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__uncultured",18.17,0,0,0,0,0,0,0,0,0,69.67,0,0,0,0,23,0,0,0,0,34.83,0,0,0,0,0,0,0,3,0,59.01,0,26,0,0,0,19.78,78.54,0,55.25,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;__",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_brachy_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,16.87,0,0,29.75,0,0,42,0,33,56,27.1,32.73,8,7.53,27.74,52,66.62,0,115,8.54,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_nodatum_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,9.57,0,379.28,0,0,4.94,0,4,0,0,11.69,0,0,2.53,0,0,0.9,0,13,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family_XIII_AD3011_group",0,0,0,0,0,0,0,0,14,0,33.07,154,0,0,0,87,0,18,0,0,30,0,0,46.16,0,0,13,0,181,71,215.07,71,52,451.43,82.84,693,188.29,83.01,63,111.99,11,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family_XIII_UCG-001",0,0,0,0,0,0,0,0,0,0,42.64,0,0,0,0,19,32,80,0,0,10.28,0,0,0,0,0,0,26,0,0,24.74,0,0,17.27,0,74,45.3,33.22,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Mogibacterium",0,0,0,10,0,0,0,0,0,0,0,0,0,0,6.62,0,0,0,0,0,0,0,0,0,8.38,0,0,0,0,0,0,0,0,13.73,0,0,2.53,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__S5-A14a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;__",0,0,4,0,0,0,3,0,0,0,0,3,4,4,0,0,4,0,0,0,0,0,0,0,0,0,9,5,4,6,0,2.78,0,2.52,6.69,5,0,0,11,2.4,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Clostridioides",0,184,0,0,0,20,0,0,0,0,0,0,908,1724,0,26,0,0,0,0,0,0,0,0,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Intestinibacter",513.05,0,2736,29,103,135,0,721,11,0,27.22,199,244,15,129.16,24,167,11,16,0,949.9,129,363.68,603.67,61.46,451.46,353,92,1389,1734,40.41,561.46,1136,3789.73,111.05,840,1448.28,38.49,1457,168.59,236,90
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Paeniclostridium",0,0,0,2694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Paraclostridium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Peptostreptococcus",0,0,246,0,0,0,0,0,0,0,0,1328,0,0,0,0,0,0,0,0,14.47,0,313.54,0,393.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia",444.82,57,1149,498,78,0,118,230,0,0,60.59,37,0,0,13428.34,0,355,113,70,37,288.93,205,10.96,257.28,5256.69,57.64,643,397,3106,2255,825.36,270.02,7659,7436.45,564.38,2551,6015.64,40.55,4242,191.18,318,54
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Terrisporobacter",0,0,93,803,68,0,0,41,0,0,0,0,17,0,88.62,9,0,0,14,0,129.51,0,0,105.6,132.16,38.16,0,0,414,101,58.05,106.25,273,548.94,0,0,310.14,0,20,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49,0,0,0.73,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Anaerococcus",5.72,0,0,0,0,47,0,0,0,0,0,1501,0,0,5.63,0,0,0,0,0,0,0,140.9,0,5.01,0,0,0,0,0,0,0,0,0,0,0,2.89,52.13,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Ezakiella",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2,0,36.41,0,0,0,0,0,0,0,0,0,0,9,3.68,0,0,0,5,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Fenollaria",0,0,0,0,0,0,4,0,0,0,0,0,0,0,7.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.24,0,0,6.73,0,0,14.58,8.96,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Finegoldia",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.18,0,9.24,0,0,0,0,0,0,0,0,0,0,9,3.41,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Murdochiella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Parvimonas",0,0,0,0,0,8,0,8,0,14,0,45,0,0,0,0,0,0,0,0,0,0,0,7.61,0,0,0,0,0,0,0,0,8,0,0,19,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Peptoniphilus",0,0,0,0,0,31,0,0,0,0,0,0,2,0,2.77,0,0,0,0,0,0,4,318.47,0,14.3,0,0,0,0,0,0,7.49,0,0,0,3,11.86,160.32,0,5.13,0,0
