"","012618.SM1","012618.SM100","012618.SM101","012618.SM102","012618.SM104","012618.SM105","012618.SM106","012618.SM107","012618.SM110","012618.SM24","012618.SM33","012618.SM92","012618.SM97","012618.SM99","060619.SM66","060619.SM89","060619.SM92","060619.SM95","090918.SM113","090918.SM12","090918.SM44","090918.SM59","3.1","4.8.08","6.14","PT.11","PT.12","PT.16","PT.23","PT.28","PT.36","PT.40","PT.52","PT.55","PT.56","PT.57","PT.58","PT.6","PT.68","PT.7","PT.8","PT.9"
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma",1.02,0,0,0,0,0,0,0,0,0,7.92,0.35,0,0,0,1.38,0,0,0,0.53,0,0,0,0.17,0,0,0,0,0,0.18,0,0,0,0.93,0.19,0,1.38,0,0,0.11,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelotrichaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64,0,0,0,0.09,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalicoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,1.64,0,0,0.49,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea",2.44,14.78,0,0,0,0,0.85,0,0,3.11,1.86,1.76,0,100.84,0,30.68,0.77,0,0,0,0,0,474.13,1.72,0,32.75,1.46,0,0,0,0,1.58,10.71,1.21,3.53,11.71,0.12,0.51,15.33,0,8.32,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella",0,0,0,0,0,0,0,370.3,0,0,0,0,0,0,0,0,0,0,0,0,0,36.41,0,0,0,0,0,0,0,0,0,0,0,6.47,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania",4.55,0,4.28,0,3.81,0,0,0,0,2.12,3.12,3.38,0,0,0,0.8,1.83,1.93,3.85,1.56,1.09,0,0,2.25,0,11.39,1.55,0,0.58,0.78,1.49,0,0.65,0,0,1.86,0.61,1.93,1.68,2.72,2.31,2.17
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Merdibacter",0,0,0,0,1.4,0,0,0,0,0,0,2.23,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0.34,0,3.24,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium",0,0,0,0.39,0.74,0,0,0,0,0,0,3.31,0.29,0,0.89,0.27,0,0,0,0,0,0,0,0.55,0,0,0,0,0.29,0.57,0,1.36,0,0.25,0.56,0,0.24,0.13,0,0,0.14,0.4
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter",0,0,8.89,23.41,11.33,0,6.56,222.8,0,0,1.99,0.47,1.4,0,52.13,0.49,1.8,9.01,1.59,5.96,11.97,0,0,0.95,0.79,0.57,10.67,0.29,35.98,238.77,51.32,29.14,204.84,165.17,45.58,184.41,12.21,0,24.44,1.22,25.16,0.99
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__Izemoplasmatales;g__Izemoplasmatales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75,0,0,0,0,9.27,0,0,0,0,0,0,0,0,0,0.39,0,0,0.73,0,0,0.07,0.13,0,2.06,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia",0,0,0,0,0,0,0,0,0,0,0,2.08,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;__",0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella",0,16.14,0,259.98,0,0,0,2.74,0,0,0,1.83,0,0,1.85,0,0,0,0,0,0,0,0,2.57,0,0.51,0,0,0,0,0,1.01,1.72,0.46,0.47,0,0,0,0.46,0,1.18,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus",0,0,3.8,9.04,0,0,0,10.2,0,0,0,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus",0,0,2.7,0.91,1.77,0,12.26,1.42,0,0,0,0,2.39,6.19,0.2,0,1.19,0,0,0,0,0,0,0.43,2.55,0,0,0.35,0,28.07,0,28.01,1.06,0,1.19,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,18.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1.11,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella",0,0,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus",0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0.46,0,0,0,0,0,0,0,3.83,0,0,0,2.93,0,0,0,0,63.49,1.47,0.64,1.41,0,0.21,0.65,0,0,0.28,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus",6.07,1874.31,35.73,535.25,143.54,0.59,14.99,145.2,154.67,10.56,0.84,215.03,65.95,1.01,69.95,1.44,25.62,40.22,22.13,20.63,14.07,32.6,4.4,74.39,6.78,21.35,10.18,19.34,38.96,9.31,1.58,17.36,41.94,20.28,1089.15,2.4,62.37,4.38,37.97,8.83,9.76,8.78
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae;g__Ureaplasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39;g__RF39",0,0,0,0,0,0,0,0,0,0,2.43,0,0,0,0,138.8,0,0,0,0,0,0,0,0,0,0,0,0,0,35.33,490.53,0,0.26,282.63,0,0,20.9,142.9,23.16,2.13,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella",0.27,6.96,0.69,5.69,0,0,2.18,10.78,0,1.11,0,2.21,0.56,0,0.7,0,0,0,0,2.4,0,0,0,3.62,0.29,0.25,0,0,0,0.38,0,1.5,1.18,0.28,1.12,0,0,0.75,0,0,1.8,0.48
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus",0,0,0,11.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08,0,1.21,1.32,0,0.37,0,0,0.35,0,0,0.78,0,0.27,0,0,0,0.07,0.32,0
"d__Bacteria;p__Firmicutes;c__Clostridia;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,0,0,0,0,0,0,0.16,0,0,0.43,0.22,0,1.07,0,0.71,0,0,0.16,0.33,0,0.35,1.77,0.55,0.5,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Caldicoprobacterales;f__Caldicoprobacteraceae;g__Caldicoprobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0.96,0,0,0.31,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,1.44,1.65,0.44,0.19,0,0.26,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group",1.59,0,0,0,142.85,0,0,44.15,0,0,1.6,2.79,0,1.23,0,169.91,1.13,4.44,0.87,16.3,129.79,3.12,0,39.32,0,0,5.46,9.34,26.51,77.68,314.24,4.99,3.64,79.91,36.04,237.2,165.43,197.6,15.45,21.37,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__uncultured",0,0.99,0,0,1,0,0,0,0,0,2.11,0,0,0,0,1.46,0,1.1,0,0,1.95,0,0,0,0,0,0,0.33,0,0,1.6,0,0,0.8,0.99,12.12,1.29,2.4,0,12.57,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__Fastidiosipila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__Ruminiclostridium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,8.13,0,0.48,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014",0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0.11,685.51,0.32,0,25.14,0,60.6,0,0,0,0,0,0,0,0,1.01,778.03,2.72,4.6,181.94,0,5.62,9.56,42.09,3,6.19,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group;g__Clostridia_vadinBB60_group",0,0,0,0,0,0,0,0,0,0,5.92,0,0,0,0,360.66,0,2.27,0,0,2.68,0,0,0,0,0,0,0,0.47,0,2.61,0,0,0,0.36,1.27,5.88,24.67,0.39,7.7,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;__",0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1",2.28,5.82,4.56,561.75,52.04,0.81,6.37,42.01,0,0,0,6.15,58.87,1.01,51.84,45.86,59.83,5.22,5.94,0,20.13,1.31,0,13.39,98.28,1.73,1.34,17.58,75.58,130.13,77.35,40.13,76.88,663.93,247.28,60.95,594.92,9.99,27.12,12.38,18.83,1.78
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_2",0,0,0,0,0,0,0,0,0,0,0,4.05,53.54,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07,0,0,0,0,0,0,0,1.66,0,0,0,0,0,0,0,0,0,4.68,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Anaerofustaceae;g__Anaerofustis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0.13,0,0,0.22,0,0.14,0.28,0.22,0.84,0.33,0,0,2.67,0.11,0,0.31,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,10.99,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae;g__Defluviitaleaceae_UCG-011",0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,1.44,0,0,0.71,0,0,1.04,0,0,0.77,1.79,0,0.46,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__",33.34,40.44,49.32,0,202.53,0,80.23,0.86,15.44,289.53,33.6,10.23,124.31,29.77,25.84,10.51,119.01,196.96,96.87,22.65,66.39,42.64,31.87,68.05,454.65,41.6,20.91,97.33,12.27,13.08,28.12,8.06,16.29,3.02,17.44,10.44,4.04,15.75,75.26,64.3,356.19,28.64
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_eligens_group",92.34,0,0,0,31.67,0,0,42.69,0,25.78,1.81,0,44.6,0,0.75,3.08,3.49,89.88,0,120.58,11.13,174.82,54.84,0.45,0,110.72,0,0,0,0.58,0.22,0,0,0.74,0,0,8.43,11.57,0,40.03,2.05,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_fissicatena_group",0,0,0,0,0,0,0,0,5.04,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0.93,0,0,0.37,0,0,0,0,0,0,0,2.67,0,4.72,1.32,0.24,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_hallii_group",17.19,0,78.5,0,32.79,0,3.07,28.24,0.68,1.96,5.72,17.68,0,7.5,0,4.93,11.6,3.86,25.17,6.48,13.92,30.95,0,150.99,58.79,39.15,93.33,52.53,244.24,70.78,101.74,485.1,105.4,61.15,174.52,72.7,139.96,9.82,1.84,8.37,0,17.94
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_oxidoreducens_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.07,0,0.4
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ruminantium_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,2.87,0,0,24.34,0,6.96,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ventriosum_group",1.47,0,0,0,5.45,0,0,1.84,0,0,5.93,0,0,0,0,2.9,12.27,7.71,37.09,12.01,5.49,18.23,0,7.63,0,45.27,3.14,17.22,2.67,0.63,5.97,0,3.18,1.77,2.41,0,0.71,4.2,0.86,0.27,62.51,30.63
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_xylanophilum_group",0,0,0,0,8.87,0,0,0,0,0,1.32,0,3.07,0,0,0,0,54.73,0,0,7.62,21.44,0,0,0,26.24,0,0,0,0.45,0,0,1.94,0.71,0,1.11,0.17,8.22,1.36,1.57,0.48,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gauvreauii_group",0,0,0,0,5.1,0,0,10.71,0,0,0.95,5.82,0,0,0,0,2.36,0,0,30.97,3.24,18.82,13.5,61.16,0,0,0,35.77,69.41,14.16,6.93,17.88,200.12,5.3,95.41,84.12,36.99,6.05,1.62,7,84.15,21.31
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gnavus_group",7.49,534.06,123.48,0,0,6.48,170.48,6.85,51.47,8.8,7.37,415.51,10.33,161.77,18.42,3.15,0.66,0,7.42,10.79,0,0,13.45,7.54,10.17,29.31,2,0.7,0,0.66,0,3.13,17.02,15.01,42.34,0,0.22,0,0,0.24,25.71,1.58
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_torques_group",30.69,0,8.81,0,15.24,0,52.98,3.41,76.26,0,25.13,12.24,8.39,41.42,30,7.48,35.33,3.14,59.99,3.43,19.32,29.72,40.33,6.44,333.98,24.07,11.5,34.13,107.92,10.25,91.83,98.75,198.72,9.15,86.27,51.64,47.75,32.14,31.88,23.87,65.32,16.15
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter",490.68,0,381.03,2.97,314.33,0,20.3,462.59,0,575.4,33.59,0,0,1.06,0,0,834.01,103.18,11.83,584.44,66.48,494.11,249.08,439.88,0,648.47,362.74,490.89,35.4,109.24,98.36,77.76,243.04,63.26,356.78,8.7,118.31,73.77,169.7,119.64,1000.99,709.08
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosporobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostignum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes",3.4,0,92.93,0,22.73,0,28.7,67.57,9.13,17.01,9.35,6.91,13.78,7.97,20.03,3.99,18.93,18.09,11.56,22.85,7.67,92.98,22.52,53.17,102.47,5.7,54.24,12.82,64.68,64.37,122.99,103.81,59.66,39.64,181.71,60.21,94.4,5.79,34.43,16.17,64.91,37.18
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia",103.31,931.72,410.03,0,83.99,3.26,65.59,376.08,65.93,45.27,25.69,13.71,30.03,50.3,586.63,28.27,34.93,54.56,106.64,100.08,52.25,129.11,143.29,858.89,607.85,225.82,242.27,474.88,663.28,358.18,219.75,878.6,836.84,135.2,627.58,532.31,308.62,55.65,1347.62,81.31,265.39,137.46
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574.51,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-56",0,0,0,0,17.51,0,0,4.68,0,0,0,8.68,0,0,0,0,0,5.33,0,0,1.32,6.4,0,0,0,0,0,15.2,0,4.62,0,27.37,1.71,0,30.37,0,0.32,0,0,1.22,0,17.49
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Catenibacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,1.66,0,0.94,0,1.65,0,0.31,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Catonella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Cellulosilyticum",0,0,0,0,0,0,0,0,0,0,0,0,4.04,0,0,14.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CHKCI001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus",1.89,0,0,0,29.13,0,47.96,40.08,0,0,4,17.12,2.22,0,0,21.31,8.63,18.87,3.08,14.34,2.07,24.1,0,2.76,0,0,0,19.07,24.16,23.38,39.37,32.1,124.22,82.71,10.45,0,20.45,11.52,33.66,10.49,36.75,11.03
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea",4.35,0,27.74,0,0,1.92,76.67,38.35,54.27,51.11,8.32,53.11,0,0,12.86,2.24,8.93,10.71,34.3,12.7,13.68,33.53,1.72,21.51,0,0,0,53.13,202.81,113.38,26.77,228.51,405.3,49.91,312.29,54.04,22.71,12.3,29.11,9.63,69.51,19.94
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella",1.47,0,0,0,0,0,0,0,0,0,0.76,29.45,0,0,2.07,0,0,0,0,0,0.77,0,0,1.06,0,16.38,1.93,0,0,0,0,0,0,1.37,0,0,4.76,8.26,0.67,2.9,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Epulopiscium",0,0,0,188.04,0,0,0,0,0,0,0,0,21.31,0,0,19.43,0,0,0,0,0,0,0,0,0.18,0.13,0,0,0,0,0,0,0.93,0.58,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Frisingicoccus",0,0,0,0,0,0,0,0,0,0,0,0,42.38,0,0.84,0,0,0,0,0,2.57,0,0,0,0,0,2.13,1.11,0,0,0,0.22,0,0,2.95,8.1,0.21,0,0.64,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter",31.78,0,80.74,0,17.54,0,5.37,13.9,46.62,26.31,13.32,1.32,0,0,1.31,6.36,22.63,33.27,32.57,0,40.33,54.64,0,32.72,507.1,82.56,39.62,68.34,20.27,35.72,28.09,110.15,94.87,2.31,149.7,0,3.79,16.78,75.9,74.47,213.66,52.24
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575",0,0,0,0,0,0,0,0,0,0,1.38,0,0,0,0,0,0.39,9.32,1.74,0,2.01,0,19.38,1.3,0,0.11,0,0.52,0,0.65,0,0,0,0,0,0,0.12,2.83,0.82,0.84,0,1.26
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066755",0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Herbinix",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Howardella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella",6.36,33.57,9.68,0,0,19.15,0,0,1.21,0,0,43.57,58.38,0,4.96,0,0,0,0,0,0,0,45.09,0,0.92,2.41,1.46,0,0,0,3.11,0,0,7.3,0,0,0.82,0.83,2.44,31.53,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Johnsonella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoanaerobaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
