"","012618.SM1","012618.SM100","012618.SM101","012618.SM102","012618.SM104","012618.SM105","012618.SM106","012618.SM107","012618.SM110","012618.SM24","012618.SM33","012618.SM92","012618.SM97","012618.SM99","060619.SM66","060619.SM89","060619.SM92","060619.SM95","090918.SM113","090918.SM12","090918.SM44","090918.SM59","3.1","4.8.08","6.14","PT.11","PT.12","PT.16","PT.23","PT.28","PT.36","PT.40","PT.52","PT.55","PT.56","PT.57","PT.58","PT.6","PT.68","PT.7","PT.8","PT.9"
"d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435.23,9.24,0,0,0,0,0,0,0,0,0,0,0,0,0,17.18,0,0,6.42,0,0,0.16,0,0,0,0,0
"d__Bacteria;__;__;__;__;__",0,0,0,0,0,0,0,0,0,4,0,0,33.85,0,0,0,0,0,0,0,0,0,0,0,1.47,0,2.64,1.85,0,0,0,0,0,0,0,0,0.15,0,0,1.1,0,0
"d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriae;f__Acidobacteriae;g__Paludibaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",2.77,15,12.44,45.44,10,0,6.6,18,2.7,0,0,15.26,6.25,0,10.39,5.14,3.83,0,1.57,3.13,1.78,0,2.56,14.27,0,2.46,9.75,19.68,18.97,15.77,1.32,26.18,34.75,9.63,13.64,7.66,9.1,29.96,13.36,3.06,0,5.58
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinotignum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__F0332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum",0.76,0,0,0,0,0,0,0,0,0,0,0,12.44,0,0,0,0,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,7.04,0,0,0,13.33,0.88,59.6,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium",1860.97,7,3689.56,4306.83,951,87.33,38.28,7542,0,27,7.47,1922.05,1143.26,478.21,1514.27,254.07,134.04,57.94,954.56,508.42,461.01,800.99,35.15,2290.2,6.58,1291.74,6556.03,1400.48,7419.97,10985.42,2069.95,6333.28,0,839.57,1472.53,1106.05,6192.31,345.4,7.46,1988.34,32.88,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Scardovia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium",0,0,0,5.62,0,0,0,4,1.73,0,0,0,0,0,0,0,0,0,0.92,0,0,5.38,10.37,0.61,1.08,2.34,0,0,0,0,0,0,2.62,0,0,4.88,0.64,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
