"","012618.SM1","012618.SM100","012618.SM101","012618.SM102","012618.SM104","012618.SM105","012618.SM106","012618.SM107","012618.SM110","012618.SM24","012618.SM33","012618.SM92","012618.SM97","012618.SM99","060619.SM66","060619.SM89","060619.SM92","060619.SM95","090918.SM113","090918.SM12","090918.SM44","090918.SM59","3.1","4.8.08","6.14","PT.11","PT.12","PT.16","PT.23","PT.28","PT.36","PT.40","PT.52","PT.55","PT.56","PT.57","PT.58","PT.6","PT.68","PT.7","PT.8","PT.9"
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma",0.22,0,0,0,0,0,0,0,0,0,1.52,0.08,0,0,0,0.4,0,0,0,0.07,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.23,0.03,0,0.34,0,0,0.03,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelotrichaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0.03,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalicoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0.28,0,0,0.15,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea",0.48,3.32,0,0,0,0,0.15,0,0,0.7,0.51,0.33,0,19.5,0,6.23,0.07,0,0,0,0,0,95.58,0.35,0,6.75,0.36,0,0,0,0,0.4,2.34,0.19,0.73,2.62,0.05,0.08,3.11,0,1.61,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella",0,0,0,0,0,0,0,74.16,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania",1.1,0,0.85,0,0.7,0,0,0,0,0.44,0.58,0.63,0,0,0,0.15,0.33,0.47,0.77,0.37,0.31,0,0,0.56,0,2.22,0.4,0,0.12,0.17,0.33,0,0.11,0,0,0.38,0.1,0.43,0.3,0.58,0.36,0.49
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Merdibacter",0,0,0,0,0.31,0,0,0,0,0,0,0.45,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0.05,0,0.57,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium",0,0,0,0.09,0.15,0,0,0,0,0,0,0.61,0.03,0,0.18,0.03,0,0,0,0,0,0,0,0.12,0,0,0,0,0.06,0.09,0,0.34,0,0.02,0.07,0,0.02,0.03,0,0,0.03,0.09
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter",0,0,1.81,4.61,2.46,0,1.38,44.07,0,0,0.44,0.04,0.29,0,10.69,0.1,0.34,1.76,0.31,1.31,2.15,0,0,0.17,0.21,0.11,2.1,0.08,7.01,47.56,9.91,5.27,40.67,33.46,8.59,36.59,2.4,0,5.26,0.32,5.2,0.16
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__Izemoplasmatales;g__Izemoplasmatales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.08,0,0,0.15,0,0,0.01,0.05,0,0.5,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia",0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;__",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella",0,3.19,0,51.41,0,0,0,0.49,0,0,0,0.38,0,0,0.34,0,0,0,0,0,0,0,0,0.58,0,0.1,0,0,0,0,0,0.13,0.42,0.03,0.1,0,0,0,0.13,0,0.32,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus",0,0,0.9,1.84,0,0,0,1.92,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus",0,0,0.66,0.26,0.32,0,2.3,0.4,0,0,0,0,0.39,1.25,0.04,0,0.16,0,0,0,0,0,0,0.09,0.45,0,0,0.06,0,5.58,0,5.55,0.22,0,0.18,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.2,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella",0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus",0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0.07,0,0,0,0,0,0,0,0.63,0,0,0,0.57,0,0,0,0,13.2,0.29,0.16,0.33,0,0,0.16,0,0,0.03,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus",1.21,375.4,7.42,107.78,28.65,0.1,2.65,29.55,30.62,2.14,0.17,43.59,13.73,0.17,14.84,0.27,5.01,8.14,4.52,4.16,3.21,6.2,0.76,14.2,1.46,4.33,2,4.06,8.18,2.09,0.29,3.4,8.11,4.06,216.07,0.63,12.99,1.02,7.78,2.04,1.85,1.54
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae;g__Ureaplasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39;g__RF39",0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0,27.4,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22,98.49,0,0.11,56.58,0,0,4.28,28.34,4.72,0.44,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella",0.03,1.35,0.21,1.18,0,0,0.47,2.26,0,0.22,0,0.64,0.11,0,0.16,0,0,0,0,0.47,0,0,0,0.73,0.08,0.07,0,0,0,0.09,0,0.23,0.19,0.02,0.22,0,0,0.1,0,0,0.4,0.23
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus",0,0,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0.29,0.27,0,0.05,0,0,0.05,0,0,0.1,0,0.07,0,0,0,0.02,0.07,0
"d__Bacteria;p__Firmicutes;c__Clostridia;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0.03,0,0,0.09,0.06,0,0.26,0,0.12,0,0,0.03,0.07,0,0.07,0.38,0.08,0.1,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Caldicoprobacterales;f__Caldicoprobacteraceae;g__Caldicoprobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0.1,0,0,0.05,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.24,0.28,0.1,0.07,0,0.03,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group",0.25,0,0,0,29.14,0,0,8.7,0,0,0.3,0.57,0,0.25,0,34.01,0.22,0.95,0.1,3.24,26.63,0.73,0,8,0,0,1.19,1.92,5.28,14.8,63.51,0.93,0.76,16.92,7.17,48.28,33.62,39.31,3.08,4.33,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__uncultured",0,0.19,0,0,0.19,0,0,0,0,0,0.52,0,0,0,0,0.37,0,0.21,0,0,0.36,0,0,0,0,0,0,0.07,0,0,0.31,0,0,0.17,0.19,2.71,0.3,0.44,0,2.88,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__Fastidiosipila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__Ruminiclostridium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,1.71,0,0.1,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014",0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0.04,135.07,0.08,0,5.22,0,11.94,0,0,0,0,0,0,0,0,0.16,157.96,0.53,0.78,36.47,0,1.02,1.86,8.36,0.65,1.16,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group;g__Clostridia_vadinBB60_group",0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,72.75,0,0.35,0,0,0.57,0,0,0,0,0,0,0,0.12,0,0.48,0,0,0,0.1,0.19,1,4.64,0.12,1.43,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;__",0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1",0.53,1.19,0.84,112.71,10.45,0.13,1.26,8.3,0,0,0,1.07,12.19,0.21,10.24,9.16,12.2,1.15,1.18,0,4.07,0.23,0,2.65,19.09,0.44,0.17,3.72,15.27,25.94,15.92,8.04,15.15,133.64,50.19,11.46,117.84,1.99,5.37,2.33,3.45,0.3
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_2",0,0,0,0,0,0,0,0,0,0,0,0.77,10.97,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Anaerofustaceae;g__Anaerofustis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.03,0,0.05,0.04,0.11,0.2,0.07,0,0,0.61,0.05,0,0.04,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,2.02,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae;g__Defluviitaleaceae_UCG-011",0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.25,0,0,0.11,0,0,0.3,0,0,0.21,0.35,0,0.13,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__",5.96,8.17,9.62,0,41.6,0,15.41,0.16,3.11,55.21,6.43,2.07,24.53,6.04,5.08,2.01,23.56,40.42,19.27,4.35,13.53,8.23,6.39,13.93,89.33,8.72,3.96,19.8,2.35,2.51,5.21,1.35,2.77,0.64,3.35,2.12,0.91,3.22,15.23,13.06,72.83,6.02
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_eligens_group",19.11,0,0,0,6.73,0,0,8.59,0,5.25,0.22,0,9.44,0,0.19,0.75,0.83,17.72,0,23.86,2.3,34.14,10.87,0.1,0,22.11,0,0,0,0.19,0.05,0,0,0.22,0,0,1.84,2.21,0,7.48,0.35,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_fissicatena_group",0,0,0,0,0,0,0,0,1.09,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.22,0,0,0.09,0,0,0,0,0,0,0,0.65,0,0.99,0.25,0.08,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_hallii_group",3.58,0,15.85,0,6.48,0,0.7,5.86,0.15,0.4,1.15,3.77,0,1.61,0,1,2.16,0.72,4.55,1.05,2.79,6.24,0,30.45,11.42,8.19,18.43,9.86,49.71,13.55,20.75,97.57,20.67,12.08,34.64,14.23,29.04,1.88,0.28,1.51,0,3.74
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_oxidoreducens_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.04
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ruminantium_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0.46,0,0,4.91,0,1.28,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ventriosum_group",0.39,0,0,0,1.02,0,0,0.48,0,0,1.19,0,0,0,0,0.71,2.53,1.6,7.5,2.42,1.02,3.66,0,1.57,0,9,0.58,3.43,0.48,0.16,1.09,0,0.64,0.42,0.46,0,0.18,1.06,0.22,0.03,12.61,6.17
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_xylanophilum_group",0,0,0,0,1.86,0,0,0,0,0,0.36,0,0.59,0,0,0,0,11.61,0,0,1.62,4.43,0,0,0,5.02,0,0,0,0.04,0,0,0.31,0.15,0,0.17,0.02,1.99,0.3,0.28,0.09,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gauvreauii_group",0,0,0,0,0.99,0,0,2.3,0,0,0.24,1.35,0,0,0,0,0.46,0,0,6,0.65,3.55,2.7,12.49,0,0,0,6.99,13.69,2.82,1.56,3.6,40.56,0.94,18.89,16.97,7.37,1.14,0.31,1.23,16.03,3.64
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gnavus_group",1.65,107.16,24.39,0,0,1.36,34.94,1.57,10.66,1.78,1.53,83.69,2.01,32.06,3.58,0.49,0.16,0,1.5,2.15,0,0,2.58,1.31,2,5.72,0.39,0.08,0,0.15,0,0.6,3.44,2.91,8.17,0,0.04,0,0,0,5.04,0.39
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_torques_group",6.12,0,1.87,0,3.33,0,10.7,0.55,16.06,0,5.24,2.76,1.57,8.48,6.01,1.61,7.61,0.62,12.12,0.81,4.02,5.64,7.82,1.23,67.41,5.17,2.53,6.98,20.96,1.94,18.49,19.42,40.4,1.84,17.57,10.23,9.3,6.88,6.09,5.02,13.02,3.52
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter",97.23,0,76.13,0.58,62.38,0,3.9,92.52,0,115.08,6.28,0,0,0.26,0,0,166.59,20.53,2.1,117.72,13.27,99.63,50.74,88.8,0,129.86,73.03,98.18,7.2,22.34,19.66,15.33,49.53,12.34,72.25,1.54,24.41,14.18,34.01,24.44,199.5,142.28
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosporobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostignum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes",0.68,0,18.81,0,4.6,0,5.65,13.82,1.74,3.09,1.92,1.36,2.95,1.64,3.97,0.58,3.81,3.58,2.22,4.2,1.54,18.32,4.22,10.18,20.53,0.97,10.93,2.73,13.19,12.79,24.75,22.3,11.34,7.43,36.28,12.25,17.87,1.17,6.58,3.19,13.39,7.5
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia",20.65,184.22,83.67,0,17.05,0.7,13.51,75.05,13.01,9.27,4.86,2.75,5.91,10.02,116,5.8,7.04,11.38,20.76,20.29,10.19,25.69,30.52,170.97,121.13,44.8,48.48,95.72,132.76,71.24,43.77,175.78,165.66,27.59,126.31,105.98,62.39,11.34,267.75,15.81,52.19,27.86
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.29,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-56",0,0,0,0,3.22,0,0,1.19,0,0,0,1.63,0,0,0,0,0,0.95,0,0,0.25,1.22,0,0,0,0,0,2.85,0,0.93,0,5.52,0.28,0,6.18,0,0.06,0,0,0.31,0,3.71
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Catenibacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.39,0,0.33,0,0.4,0,0.06,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Catonella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Cellulosilyticum",0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CHKCI001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus",0.47,0,0,0,5.39,0,10.08,8.1,0,0,0.96,3.41,0.45,0,0,4.77,1.67,3.76,0.59,2.77,0.36,5.03,0,0.63,0,0,0,3.82,5.12,4.83,8.19,6.38,24.47,16.72,2.14,0,3.71,2.14,6.68,2.05,6.9,2.48
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea",0.88,0,5.64,0,0,0.35,15.01,7.52,10.7,10.64,1.56,10.93,0,0,2.75,0.37,1.79,2.26,6.75,2.54,3.1,6.33,0.41,4.47,0,0,0,10.3,41.95,22.25,5.72,45.03,80.76,10.24,61.89,10.63,4.56,2.52,6.1,2.06,14.32,4.25
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella",0.22,0,0,0,0,0,0,0,0,0,0.25,6.06,0,0,0.5,0,0,0,0,0,0.09,0,0,0.21,0,3.27,0.4,0,0,0,0,0,0,0.22,0,0,1.01,1.54,0.09,0.42,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Epulopiscium",0,0,0,37.35,0,0,0,0,0,0,0,0,4.22,0,0,3.95,0,0,0,0,0,0,0,0,0.03,0.01,0,0,0,0,0,0,0.13,0.07,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Frisingicoccus",0,0,0,0,0,0,0,0,0,0,0,0,8.83,0,0.17,0,0,0,0,0,0.47,0,0,0,0,0,0.41,0.13,0,0,0,0.09,0,0,0.5,1.67,0.07,0,0.11,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter",6.1,0,15.71,0,3.74,0,0.9,2.71,9.15,5.58,2.69,0.21,0,0,0.26,1.2,4.41,6.74,6.27,0,8.14,10.95,0,6.42,101.41,16.57,8.25,14.01,3.99,6.93,5.52,21.98,18.2,0.51,30.28,0,0.69,3.15,15.31,14.77,41.26,10.66
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575",0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0.06,2.06,0.29,0,0.34,0,3.8,0.14,0,0.03,0,0.1,0,0.09,0,0,0,0,0,0,0.06,0.59,0.1,0.11,0,0.29
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066755",0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Herbinix",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Howardella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella",1.54,6.84,1.71,0,0,3.74,0,0,0.24,0,0,8.79,11.59,0,1.08,0,0,0,0,0,0,0,9.04,0,0.22,0.5,0.25,0,0,0,0.44,0,0,1.57,0,0,0.14,0.19,0.49,6.32,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Johnsonella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoanaerobaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
