"","logFC","logCPM","PValue","FDR"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus_sp.",-7.97972912464972,7.54748929865379,0.0064530040776695,0.0351256741936538
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium;__",2.5360946791889,12.7201695105613,0.00652977276676898,0.0351256741936538
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas_asaccharolytica",6.88797855920462,9.71656983869773,0.00830374685911831,0.0431794836674152
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;__",2.98743810869915,13.6658556081458,0.0103853790032505,0.0511461079829008
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;__",5.61171720716318,10.8178340713956,0.0104915093298258,0.0511461079829008
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ventriosum_group;__",-5.83534476889575,8.95351783770923,0.0138896826312448,0.0656603178931572
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__metagenome",-2.43402521905874,12.5080068449832,0.0146178678732905,0.06707021730098
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_hallii_group;__",-2.57751402240282,13.2611581323097,0.0181867940921808,0.0810611393822915
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_brachy_group;s__uncultured_bacterium",-4.00290002807861,7.28168379943568,0.0188177157036005,0.0815434347156022
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides_difficile",7.15433413345886,10.3340218998174,0.0197169749826099,0.0831310296564094
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;__",-4.75806093635056,9.85833776114366,0.0203476915813518,0.0835326285971285
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002;__",-3.36861051252216,12.2231078806008,0.0236361339544325,0.09454453581773
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Anaerococcus;__",6.24101045128292,10.4666287899918,0.0247486324373957,0.0965196665058433
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1;s__metagenome",-4.58245632872879,10.1257561519064,0.027469982874889,0.104519934841041
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia;__",-4.68462676379249,8.50032707416558,0.0315793261957136,0.117294640155507
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;__",-6.22525225610197,9.95794325309525,0.0334535605266718,0.121366405631646
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gauvreauii_group;__",-2.97911543516426,11.9735550703763,0.0392105112142311,0.139019085214092
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;__;__",-2.68516944126683,8.90490399863876,0.0434216425546596,0.150528360856153
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella;__",6.01882672377117,8.38340463402968,0.0467241469372604,0.158455802656796
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;__;__",4.17418061566448,10.370240611061,0.0496551314253505,0.160083071592124
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__uncultured;__",-2.98680524029035,10.9844877016337,0.0500861213346158,0.160083071592124
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group;s__uncultured_prokaryote",-2.98800075421607,10.6022266617608,0.0502825032565005,0.160083071592124
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;__",2.82337172196831,10.8347230191121,0.0532947481004388,0.166279614073369
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__uncultured_bacterium",1.83200897940714,11.7095259437352,0.0552411308367257,0.168641736743203
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__uncultured;__",-3.51657188604137,8.14598702519268,0.0562139122477342,0.168641736743203
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus;__",-2.53764645655249,11.6278476135476,0.0589605306212468,0.171095858236951
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010;g__UCG-010;s__uncultured_Ruminococcaceae",-5.88983394267602,8.05334718817917,0.0592254893897138,0.171095858236951
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_hallii_group;s__uncultured_organism",-4.10193494608816,10.5609322549738,0.0604980099290251,0.171594355435053
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1;__",-1.95099585238291,13.4955343502604,0.0687013953487198,0.189094698488685
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;__",-1.37098094771872,15.6212754967522,0.069336380467993,0.189094698488685
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__uncultured_bacterium",-3.1006585506307,13.5779965930582,0.0703044391816904,0.189094698488685
"d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39;g__RF39;s__uncultured_bacterium",-5.80489980673075,10.2549722405875,0.0732880313418294,0.193778523547888
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group;g__Clostridia_vadinBB60_group;s__gut_metagenome",-5.25142590813092,10.9030626260711,0.0827590468312745,0.215173521761314
