"","012618.SM1","012618.SM100","012618.SM101","012618.SM102","012618.SM104","012618.SM105","012618.SM106","012618.SM107","012618.SM110","012618.SM24","012618.SM33","012618.SM92","012618.SM97","012618.SM99","060619.SM66","060619.SM89","060619.SM92","060619.SM95","090918.SM113","090918.SM12","090918.SM44","090918.SM59","3.1","4.8.08","6.14","PT.11","PT.12","PT.16","PT.23","PT.28","PT.36","PT.40","PT.52","PT.55","PT.56","PT.57","PT.58","PT.6","PT.68","PT.7","PT.8","PT.9"
"d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727.86,14.97,0,0,0,0,0,0,0,0,0,0,0,0,0,28.47,0,0,10.18,0,0,0.1,0,0,0,0,0
"d__Bacteria;__;__;__;__;__",0,0,0,0,0,0,0,0,0,4,0,0,38,0,0,0,0,0,0,0,0,0,0,0,2.64,0,4.27,2.92,0,0,0,0,0,0,0,0,0.18,0,0,1.57,0,0
"d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriae;f__Acidobacteriae;g__Paludibaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",4.68,15,21.6,76.73,10,0,10.78,18,4.83,0,0,21,7,0,16.7,8.38,6.37,0,2.7,5,2.77,0,4.22,23.06,0,4.36,15.69,32.3,31.35,25.3,2.74,43.54,57.72,16.76,22.76,12.92,16.05,49.04,22.33,4.9,0,8
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinotignum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__F0332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum",1.43,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2.31,0,0,0,0,0,0,0,0,11.51,0,0,0,21.75,1.22,97.33,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium",3102.22,7,6153.25,7176.22,951,107,64.8,7542,0,27,11.39,2662,1285,797.68,2514.49,421.4,223.29,96.91,1583.85,812,761.42,923,58.85,3825.91,11.33,2143.87,10933.19,2334.76,12361.85,18305.61,3438.07,10536.52,0,1398.31,2458,1850.73,10309.83,574.67,12.7,3316.96,56.11,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Scardovia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium",0,0,0,9.73,0,0,0,4,2.83,0,0,0,0,0,0,0,0,0,1.41,0,0,6,18.19,1.25,1.44,3.82,0,0,0,0,0,0,4.17,0,0,8.13,1.16,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Pseudoclavibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia",0,4,0,126.97,0,0,0,0,4.72,0,0,8,5,0,9.47,0,6.52,0,0,7,1.68,0,0,15.23,0,2.75,7.81,0,0,1.98,0,0,0,0,0,0,0,0,0,5,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium",0,17,0,10.7,8,0,0,0,0,0,0,0,4,0,6.71,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,3.49,0,2.37,0,2.8,2.5,0,1.24,0,6.17,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Libanicoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01,0,0,0,0,0,0,0,17.06,21.13,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella",0,0,299.49,0,33,0,35.35,54,62.39,4,22.76,0,1605,0,0,24.69,7.74,6.47,91.83,7,145.96,10,0,331.34,0,0,1332.21,499.34,0,149.6,0,1450.97,0,185.01,1252.76,872.73,592.19,304.07,0,194.71,15.65,151
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Enorma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.84,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales_Incertae_Sedis;g__Raoultibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,21.85,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales_Incertae_Sedis;g__uncultured",0,0,0,0,0,0,0,0,0,0,3.79,0,0,0,0,26.56,0,40.96,0,0,50.44,0,0,4.89,0,0,0,0,0,0,69.81,40.55,0,221.49,29.48,0,73.49,32.9,0,49.02,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;__",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42,27.36,41.65,0,17.96,52.9,41.96,5.77,7.25,26.45,0,0,6.24,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18,26,0,205.6,0,0,125.95,0,208.18,186.24,142.06,217.09,160.62,59.19,0,127.15,38.33,28.9,295.82,34.17,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Cryptobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella",17.65,0,79.93,0,0,6,6.82,4,39.38,0,11.71,404,0,34.75,0,0,0,0,24.47,0,0,0,320.08,0,7.3,79.91,0,2.19,41.16,0,56.48,46.98,97.82,15.55,0,24.48,21.57,30.6,204.17,13.31,148.41,21
