"","012618.SM1","012618.SM100","012618.SM101","012618.SM102","012618.SM104","012618.SM105","012618.SM106","012618.SM107","012618.SM110","012618.SM24","012618.SM33","012618.SM92","012618.SM97","012618.SM99","060619.SM66","060619.SM89","060619.SM92","060619.SM95","090918.SM113","090918.SM12","090918.SM44","090918.SM59","3.1","4.8.08","6.14","PT.11","PT.12","PT.16","PT.23","PT.28","PT.36","PT.40","PT.52","PT.55","PT.56","PT.57","PT.58","PT.6","PT.68","PT.7","PT.8","PT.9"
"d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727.86,14.97,0,0,0,0,0,0,0,0,0,0,0,0,0,28.47,0,0,10.18,0,0,0.1,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella",0,0,0,0,0,0,0,1874,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,64.62,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania",52.8,0,44.17,0,14,0,0,0,0,9,33.75,26,0,0,0,9.32,18.86,19.62,37.51,17,12.32,0,0,23.26,0,117.06,14.73,0,5.94,8.83,16.12,0,5.98,0,0,16.84,6.37,19.12,17.03,26.49,22.54,18
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Merdibacter",0,0,0,0,5,0,0,0,0,0,0,19,0,15.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81,0,0,0,0,0,2.91,0,28.49,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium",0,0,0,3.87,3,0,0,0,0,0,0,25,2,0,9.23,2.14,0,0,0,0,0,0,0,6.01,0,0,0,0,4.2,4,0,13.87,0,1.99,5.15,0,1.78,2.12,0,0,1.58,3
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter",0,0,88.49,237.58,44,0,62.83,1135,0,0,18.58,4,10,0,529.14,5.24,18.94,89.62,16.43,59,114.73,0,0,9.73,9.58,4.59,106.75,2.95,350.26,2366.76,511.46,277.89,2065.02,1651.66,445.08,1844.57,122.38,0,248.71,13.79,252.85,8
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__Izemoplasmatales;g__Izemoplasmatales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.59,0,0,0,0,92.49,0,0,0,0,0,0,0,0,0,4.2,0,0,7.32,0,0,1.15,1.98,0,21.59,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia",0,0,0,0,0,0,0,0,0,0,0,17,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;__",0,0,0,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella",0,43,0,2600.47,0,0,0,13,0,0,0,17,0,0,17.04,0,0,0,0,0,0,0,0,25.24,0,4.68,0,0,0,0,0,8.73,17.7,4.29,3.41,0,0,0,5.14,0,11.91,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus",0,0,40.17,93.17,0,0,0,51,0,0,0,0,0,16.38,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,19.87,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus",0,0,25.94,8.74,7,0,123.62,8,0,0,0,0,15,58.8,1.75,0,13.51,0,0,0,0,0,0,3.38,25.15,0,0,3.05,0,278.15,0,275.89,10.47,0,11.76,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,181.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31,0,0,0,0,0,0,0,10.31,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus",0,0,0,0,0,0,0,0,0,13,0,0,0,0,5.33,0,0,0,0,0,0,0,39.59,0,0,0,30.5,0,0,0,0,642.76,14.09,6.04,14.45,0,2.47,6.85,0,0,2.21,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus",61.05,5093,367,5357.78,542,4,150.07,742,1548.98,47,8.59,1803,450,8.66,709.4,15.34,255.02,402.88,222.6,196,138.45,222,39.29,740.75,70.04,210.54,100.04,192.04,397.56,92.53,17.81,170.49,405.57,200.65,10864.92,24.08,624.7,47.35,379.82,89.13,95.15,74
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae;g__Ureaplasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39;g__RF39",0,0,0,0,0,0,0,0,0,0,23.98,0,0,0,0,1365.6,0,0,0,0,0,0,0,0,0,0,0,0,0,357.12,4921.22,0,2.92,2814.61,0,0,212.28,1408.57,219.64,21.58,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella",2.52,19,7.19,56.35,0,0,21.66,56,0,5,0,19,4,0,6.62,0,0,0,0,22,0,0,0,36.53,2.9,4.16,0,0,0,4.34,0,14.49,9.5,2.56,10.62,0,0,6.59,0,0,16.75,5
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus",0,0,0,114.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,0,12.05,14.04,0,3.66,0,0,3.87,0,0,6.49,0,2.52,0,0,0,0.9,2.62,0
"d__Bacteria;p__Firmicutes;c__Clostridia;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.29,0,0,0,0,0,0,1.72,0,0,3.53,2.64,0,9.78,0,6.59,0,0,1.7,3.45,0,3.32,17.88,5.5,5.53,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Caldicoprobacterales;f__Caldicoprobacteraceae;g__Caldicoprobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72,0,0,10.77,0,0,2.24,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.01,15.82,14.23,4.68,2.8,0,2.63,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group",15.55,0,0,0,541,0,0,219,0,0,16.91,21,0,11.56,0,1707.26,10.92,44.39,7.6,158,1323.32,24,0,393.15,0,0,54.42,92.96,258.29,759.22,3166.44,50.32,39.15,814.95,363.75,2379.69,1681.41,1961.9,150.84,217.05,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__uncultured",0,3,0,0,4,0,0,0,0,0,18.7,0,0,0,0,14.62,0,11.36,0,0,20.18,0,0,0,0,0,0,3.16,0,0,14.1,0,0,7.05,10.19,118.4,12.73,24.69,0,136.73,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__Fastidiosipila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__Ruminiclostridium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.49,82.84,0,5.25,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014",0,0,0,0,0,0,0,0,0,0,8.36,0,0,0,1.39,6869.22,3.58,0,256.5,0,606.56,0,0,0,0,0,0,0,0,9.79,7834.4,28.7,50.91,1818.8,0,53.97,98.68,413.88,32.49,62.63,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group;g__Clostridia_vadinBB60_group",0,0,0,0,0,0,0,0,0,0,54.6,0,0,0,0,3595.16,0,21.81,0,0,26.86,0,0,0,0,0,0,0,5.88,0,27.39,0,0,0,3.84,11.06,53.13,244.49,3.8,73.33,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;__",0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1",24.95,16,44.67,5632.73,193,7,64.8,211,0,0,0,52,402,10.58,522.32,466.81,597.11,54.13,58.46,0,205.99,9,0,131.73,978,16.69,12.78,181.29,743.16,1299.57,788.35,414.74,771.68,6636,2468.44,606.86,5933.17,103.58,271.94,122.43,185.15,16
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_2",0,0,0,0,0,0,0,0,0,0,0,34,360,0,15.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.03,0,0,0,0,0,0,0,16.12,0,0,0,0,0,0,0,0,0,46.3,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Anaerofustaceae;g__Anaerofustis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.68,0,0,0,0,0,0,0,1.14,0,0,2.51,0,2.73,2.74,3.26,8.36,3.77,0,0,27.57,1.14,0,3.47,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,109.86,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae;g__Defluviitaleaceae_UCG-011",4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.07,0,0,0,0,0,0,0,0,0,13.01,0,0,7.24,0,0,10.58,0,0,8.85,16.56,0,4.01,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__",324.01,109,497.7,0,757,0,803.09,4,152.83,1274,340.32,84,833,300.53,260.75,103.56,1190.21,1961.43,976.52,218,674.64,293,322.92,667.26,4462.31,409.08,210.44,973.64,125.77,128.9,276.23,78.67,161.65,31.18,171.2,100.44,43.27,160.33,752.04,635.69,3571.45,254
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_eligens_group",925.61,0,0,0,123,0,0,224,0,114,18.61,0,308,0,6.94,32.01,36.79,905.26,0,1162,108.25,1205,539.81,3.4,0,1122.58,0,0,0,5.04,2.85,0,0,7,0,0,82.13,112.02,0,387.93,19.39,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_fissicatena_group",0,0,0,0,0,0,0,0,54.81,0,0,0,0,3.86,0,0,0,0,0,0,0,0,9.89,0,0,4.6,0,0,0,0,0,0,0,31.15,0,49.9,12,2.35,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_hallii_group",175.02,0,768.82,0,123,0,30.39,144,6.65,9,56.89,148,0,78.29,0,52.62,115.99,37.71,255.01,64,138.91,211,0,1523.46,582.5,394.09,926.81,527.53,2480.51,705.04,1012.65,4866.31,1072.04,612.24,1756.14,738.99,1405.1,99.11,18.89,82.36,0,164
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_oxidoreducens_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0.37,0,0,1.13,0,3
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ruminantium_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.15,0,0,0,24.18,0,0,252.05,0,66.57,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ventriosum_group",13.61,0,0,0,21,0,0,9,0,0,59.24,0,0,0,0,28.85,127.33,75.91,368.59,114,50.78,122,0,74.99,0,449.27,33.07,166.67,25.35,6.25,62.12,0,31.39,17.93,26.54,0,7.39,44.4,9.68,3.14,615.21,269
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_xylanophilum_group",0,0,0,0,32,0,0,0,0,0,13.7,0,19,0,0,0,0,566.3,0,0,81.28,146,0,0,0,257.84,0,0,0,4.11,0,0,19.56,7.68,0,10.49,2.45,84.77,13.51,16.66,5.77,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gauvreauii_group",0,0,0,0,19,0,0,56,0,0,10.58,48,0,0,0,0,25.44,0,0,297,33.24,126,131.96,621.67,0,0,0,354.12,684.81,144.7,70.55,176.01,2018.58,53.66,953.44,837.9,358.68,64.55,18.2,70.5,839.02,183
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gnavus_group",74.75,1450,1240.37,0,0,50,1709.67,35,510.75,39,71.26,3452,70,1598.56,188.7,28.5,6.54,0,74.78,104,0,0,132.1,74.28,93.01,290.99,22.38,5.89,0,7.26,0,30.32,170.7,149.23,424.14,0,2.26,0,0,1.61,252.22,14
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_torques_group",311.68,0,90.06,0,59,0,531.79,17,759.42,0,256.76,105,53,413.27,298.55,75.19,353.07,32.8,588.73,34,200.45,202,399.8,62.81,3342.92,246.73,113.49,338.51,1078.23,103.94,921.08,979.48,1967.83,88.26,873.48,506.46,489.13,321.83,322.7,239.89,658.21,147
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter",4903.9,0,3779.93,28.12,1180,0,198,2359,0,2547,330.14,0,0,11.51,0,0,8362.64,1031.43,119.83,5604,662.05,3399,2498.91,4409.37,0,6458.99,3605.47,4902.74,364.09,1096.63,973.01,783.42,2419.96,648.18,3564.37,88.27,1189.32,731.78,1705.76,1195.43,10053.28,6273
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosporobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostignum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes",34.75,0,917.84,0,85,0,293.28,340,89.67,75,94.08,58,95,83.14,202.55,39.83,190.93,176.62,115.3,214,82.42,636,222.46,526.68,1026.39,52.67,541.94,126.26,649.25,640.02,1232.24,1037.77,586.3,393.15,1831.68,602.52,919.82,59.23,339.75,163.4,644.4,328
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia",1033.08,2529,4096.24,0,318,27,665.85,1911,669.18,199,257.74,115,199,498.11,5843.21,277.48,352.13,551.07,1072.11,953,524.76,891,1430.74,8620.14,6098.59,2269.37,2427.58,4761.66,6598.59,3577.79,2181.54,8758.13,8367.98,1337.04,6297.85,5309.8,3111.51,544.78,13470.87,818.05,2656.08,1208
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5752.23,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-56",0,0,0,0,65,0,0,24,0,0,0,73,0,0,0,0,0,47.19,0,0,13.97,45,0,0,0,0,0,152.83,0,45.42,0,270.45,15.37,0,302.83,0,3.87,0,0,13.28,0,153
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Catenibacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.79,16.99,0,9.83,0,18.62,0,4.01,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Catonella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Cellulosilyticum",0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,143.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CHKCI001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus",22.14,0,0,0,109,0,487.04,202,0,0,40.52,144,15,0,0,220.46,87.64,184.57,34.24,135,19.26,168,0,29.88,0,0,0,191.17,250.44,234.87,391.98,329.72,1223.53,824.61,107.32,0,194.57,116.97,338.75,109.39,358.48,99
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea",45.19,0,283.01,0,0,13,775.45,190,543.46,226,85.57,437,0,0,126.61,20.29,92.18,104.89,347.47,125,146.08,228,16.59,213.52,0,0,0,522.4,2033.03,1136.91,266.47,2303.32,4055.56,514.42,3098.52,533.59,232.18,123.58,297.65,102.31,698.54,177
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella",13.89,0,0,0,0,0,0,0,0,0,7.41,247,0,0,19.01,0,0,0,0,0,6.49,0,0,11.58,0,164,19.11,0,0,0,0,0,0,14.47,0,0,52.68,83.81,6.33,28.02,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Epulopiscium",0,0,0,1883.7,0,0,0,0,0,0,0,0,141,0,0,195.98,0,0,0,0,0,0,0,0,1.61,0.72,0,0,0,0,0,0,8.82,5.77,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Frisingicoccus",0,0,0,0,0,0,0,0,0,0,0,0,288,0,8.21,0,0,0,0,0,25.95,0,0,0,0,0,19.05,10.73,0,0,0,3.67,0,0,28.41,82.93,2.42,0,5.52,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter",315.01,0,793.13,0,67,0,51.24,75,465.24,119,132.37,11,0,0,13.33,62.11,221.28,326.26,324.58,0,398.3,381,0,330.08,5101.05,821.75,395.51,695.24,199.96,360.97,273.41,1114.07,942.54,25.4,1500.2,0,35.43,167.7,770.87,739.8,2130.77,465
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575",0,0,0,0,0,0,0,0,0,0,15.03,0,0,0,0,0,3.29,95.45,14.78,0,21.33,0,188.75,13.08,0,2.15,0,5.39,0,5.95,0,0,0,0,0,0,2.11,31.5,7.26,9.63,0,11
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066755",0,0,0,0,0,0,0,0,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Herbinix",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Howardella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella",64.24,91,97.26,0,0,140,0,0,13.2,0,0,364,388,0,49.86,0,0,0,0,0,0,0,446.46,0,9.58,26.42,15.88,0,0,0,30.68,0,0,75.82,0,0,7.95,9.21,24.64,313.12,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Johnsonella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoanaerobaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium",281.3,213,1089.3,0,0,310,193.53,31,100.94,101,115.49,2985,1181,3242.89,226.15,28.44,113.08,224.8,232.75,220,44.54,60,1648.09,315.55,109.8,323.5,182.92,116.1,66.84,18.58,139.55,9.27,0,69.72,4.51,583.71,84.02,301.56,784.74,108.16,1035.67,42
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira",453.86,0,0,0,125,0,27.57,79,0,53,3749.16,0,0,7.79,154.57,198.42,318.55,344.89,687.76,0,60.05,628,0,31.26,33.5,1460.51,103.7,97.68,0,0,4.64,2.35,3.49,0,0,0,33.26,73.28,0,277.55,689.4,321
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group",12.02,0,0,0,0,0,0,26,0,0,0,0,0,0,0,10.37,1.53,0,23.57,0,0,49,0,0,0,0,0,0,48.73,29.36,29.12,68.85,111.95,38.58,54.81,37.1,45.36,0,0,9.16,21.47,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NC2004_group",1.02,0,0,0,3,0,0,0,1.86,0,0,0,0,0,1.59,0,0,0,0,0,0,0,2.19,1.57,10.37,8.4,2.56,0,4.56,0,0,0,1.71,0,2.84,0,0.9,0,0,0,0,0
