"","logFC","logCPM","PValue","FDR"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-352;s__uncultured_bacterium",-5.18661325195301,15.7711713209029,0.00367419550744287,0.0216369290993858
"d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39;g__RF39;s__gut_metagenome",-12.1977952931169,12.12404120084,0.00428654492922488,0.0243414515623842
"d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39;g__RF39;__",-11.8670335662138,11.7951031712995,0.00471527807722134,0.0258527315268342
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis;__",-4.27592732511785,13.4793893562238,0.00494974222373935,0.0258757311171461
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ventriosum_group;__",-8.94362016977079,8.92927309225773,0.0050449538656071,0.0258757311171461
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_obesi",-10.0755157435837,10.0254799495575,0.00539316933699019,0.02679731014317
"d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39;g__RF39;s__uncultured_bacterium",-11.5568711001247,11.4870370830267,0.00593684465411917,0.0286047969698469
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;__",-5.04239216381285,13.3146112527075,0.00624038914871419,0.0291829963131046
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group;g__Clostridia_vadinBB60_group;s__gut_metagenome",-11.6127451166258,11.5422831236021,0.00678912710260475,0.030842034551833
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__[Eubacterium]_coprostanoligenes_group;__",-7.87730834440556,11.3338555101604,0.00718386574005331,0.0317287403519021
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Anaerococcus;__",7.17942102989284,10.802835867412,0.00845080296889974,0.0363156127582448
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales_Incertae_Sedis;g__uncultured;s__gut_metagenome",-9.10245952948941,9.08181110237261,0.00883189684776033,0.0368772191988077
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;__;__",-10.5989831311566,10.5398162498816,0.00904535565253774,0.0368772191988077
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__uncultured_bacterium",2.77608841640431,11.9629185974563,0.00937331849262355,0.0372589410081786
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;__",-10.5781065957998,10.5186215479123,0.0113353129078556,0.0439588963987572
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group;s__uncultured_bacterium",-8.24376925045923,8.27002176277509,0.013029715456206,0.0493267799413513
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__uncultured_organism",-11.5395236683423,11.4696291933513,0.0142841649034823,0.0528181911547371
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1;__",-3.46578282617601,14.2626621408124,0.0149406593454667,0.053990109907482
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__uncultured_bacterium",-5.59537301408631,13.7516004709779,0.0170397753331062,0.0602072061769752
"d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;__",-10.3289537689647,10.2740200397849,0.0175534048711271,0.060673725532809
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus;__",-4.14061086062639,12.1939410925324,0.0182413196521834,0.0611743763527421
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia;__",-3.22951411235303,14.1478731374142,0.0186956398455745,0.0611743763527421
