"","012618.SM1","012618.SM100","012618.SM101","012618.SM102","012618.SM104","012618.SM105","012618.SM106","012618.SM107","012618.SM110","012618.SM24","012618.SM33","012618.SM92","012618.SM97","012618.SM99","060619.SM66","060619.SM89","060619.SM92","060619.SM95","090918.SM113","090918.SM12","090918.SM44","090918.SM59","3.1","4.8.08","6.14","PT.11","PT.12","PT.16","PT.23","PT.28","PT.36","PT.40","PT.52","PT.55","PT.56","PT.57","PT.58","PT.6","PT.68","PT.7","PT.8","PT.9"
"d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.88,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45,0,0,2.09,0,0,0.03,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia",0,0,0,0,0,0,0,0,0,0,0,0,4.49,0,0.48,0,0,0,0,0,0,0,0,3.37,0,0,0,0,0,25.99,18.01,0,0,0,36.21,263.13,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46,0,0,0,0,31.8,0,43.35,0,0,3.41,0,0,39.72,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__uncultured;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52,0,0.76,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.78,0.25,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;__;__",0,0,0,0,0,0,0,0,0,0,9.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides",5061.49,5.92,1934.77,11.57,460.2,7270.97,6620.08,1302.32,4237.51,925.95,5444.77,475.69,0,6334.1,1769.21,507.92,2108.15,3396.81,3917.11,4007.76,4407.57,1710.17,5243.45,291.6,0,2.85,3004.42,1938.5,75.47,57.28,346.29,15.63,58.65,384.29,55.1,18.4,530.57,2195.99,373.97,2015.77,2449.31,5457.35
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella",0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,263.55,106.15,103.01,84.19,0,0.73,0,0,16.92,0,0,63.29,0,17.29,0,33.58,0.64,0,71.1,9.28,10.8,0,348.52,0,548.84,0.55,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Coprobacter",7.38,0,0,0,0,0,0,0,0,0,0,7.78,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,21.84,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.73,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas",0,0,0,0,0,0,0,0,0,1.27,0,8.06,0,0,0,47.25,13.73,6.58,0,0,188.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0.82,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter",0,0,0,0,0,0,11.02,0,0,6.72,51,0,0,0,0,19.69,27.26,34.48,16.12,0,104.24,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.22,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Sanguibacteroides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,54.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas",0,0,1.06,0,0,371.44,1.05,1.66,0,0,5.06,1.01,1.31,0,1.27,0,0,0,0,0,0,0,0,0.22,0.32,0,0,0,0,0,0,0.91,0,0,0,0,1.65,2.48,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.98,3.27,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349.59,0,0,0,0,0,0,0,0,22.26,0,0,0,0,0,0.03,2.1,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella",0.69,2.24,0,0.74,0,4.78,0,1.98,0,0,0,0,23.41,0,15.29,249.76,1.64,2.31,0.34,0,1.18,0,43.43,0,26.99,0,0,0,0,0,0.33,0.44,0,0.81,57.48,1.91,1.95,36.22,0,1.05,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes",284.37,0,0.54,0,529.35,0,5.51,0,580.83,113.48,606.94,27,0,1.25,2.37,1545.02,401.11,511.12,584.88,3.84,633.83,7.08,0,42.81,0,0.79,246.23,18.07,65.3,26.36,832.18,3.11,36.48,236.23,23.2,70.13,262.24,708.61,273.6,718.53,50.7,22.16
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.58,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,14.56,0,0,112.9,0,0,47.89,64.76,0,43.65,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Macellibacteroides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides",34.26,0,0,0,0,0,172.67,0,0,105.27,168.57,50.61,0,0,0.96,192.36,352.28,507.07,107.77,0,549.46,136.28,0,31.7,0,1,156.39,46.25,0,7.01,8.76,2.21,2.3,32.43,6.48,6.38,34,242.46,0.3,215.62,0.99,232.16
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__uncultured;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,1.68,2.95,0,0,1.8,0.05,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92,0,0,0,0,0,0,0,0,0,0,0,5.53,0,0,0,0,0,0,10.11,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Bergeyella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__0319-6G20;f__0319-6G20;g__0319-6G20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0
"d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter",0,3.75,0,59.17,2.18,0,0,0,2.18,0.86,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,1.82,0.51,0.69,0,0,0,0,0,0,0,0,0,0.34,0.26,0.79,0.18,0,0
"d__Bacteria;p__Chloroflexi;__;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0
"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast;g__Chloroplast",1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.4,0,0,1.3,0,0,0,0,9.55,0,1.6,0.52,0,3.37,7.48,0.71,0.33,0,0,0,0,0.05,0,0,0,0,0
"d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Gastranaerophilales;f__Gastranaerophilales;g__Gastranaerophilales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,16.99,0,0,0,0,0,0
"d__Bacteria;p__Deinococcota;c__Deinococci;o__Thermales;f__Thermaceae;g__Meiothermus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0
"d__Bacteria;p__Deinococcota;c__Deinococci;o__Thermales;f__Thermaceae;g__Thermus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0.06,0,0,0,0,0
"d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0
"d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila",66.34,0,0,0,0,0,0,0,0,0,151.08,22.66,0,0,1.53,71.4,26.16,105.22,97.56,6.61,127.82,2.55,0,0.76,0,0,10.1,29.09,0,0,3.15,0,0,2.42,0,0,4.35,20.82,0,93.63,33.83,0
"d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.64,0,0,0,0,94.22,0,0,0,0,0,0,0,0,0,11.22,0,0,10.59,0,0,5.23,209.44,0.24,0,0,0
"d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__uncultured",0,0,0,0,0,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.65,0,0,0,0
"d__Bacteria;p__Firmicutes;__;__;__;__",0,0,0.5,0,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus",0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Candidatus_Stoquefichus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,0,0,0,0,0,0,0,1.45,0,0,0,32.6,3,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.86,0,45.1,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Coprobacillus",15.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,0,0,0,3.08,3.72,0,0,0,2.95,0,3.53,1.7,0,0,4.36,0,1.14
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium",3.69,224.51,85.16,10.1,9.82,9.09,0,4.72,1.13,5.07,13.38,237.4,117.48,59.92,0.67,3.07,4.69,2.22,3.78,24.86,4.5,3.53,60.57,22.06,61.28,97.74,5.45,4.3,1.56,0,17.89,72.72,33.78,24.47,31.08,6.64,13.23,6.37,133.41,15.57,1.59,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae_UCG-003",0,0,0,0,14.88,1.5,14.16,384.69,48.26,0,192.19,82.67,6.29,0,536.35,19.77,78.87,36.32,168.93,0,16.58,117.67,0,0.32,0,0.37,0,87.99,89.08,80.23,327.9,364.06,195.07,32.58,444.83,97.61,78.03,49.38,211.29,68.25,0,137.68
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Clostridium]_innocuum_group",2.52,671.68,12.42,0,0,2.17,0,3.14,0.54,0,1,1.86,61.32,38.32,2.56,2.87,0,0,0.94,0,0,0,31.41,4.4,9.15,10.1,7.51,4.4,3.63,2.21,2.72,3.55,2.98,24.66,26.41,29.03,8.9,1.89,1.17,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma",1.93,0,0,0,0,0,0,0,0,0,16.11,0.8,0,0,0,2.7,0,0,0,0.8,0,0,0,0.29,0,0,0,0,0,0.37,0,0,0,1.76,0.31,0,3.08,0,0,0.24,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelotrichaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01,0,0,0,0.21,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalicoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,3.53,0,0,1.05,0,0,0,0,0
