"","012618.SM1","012618.SM100","012618.SM101","012618.SM102","012618.SM104","012618.SM105","012618.SM106","012618.SM107","012618.SM110","012618.SM24","012618.SM33","012618.SM92","012618.SM97","012618.SM99","060619.SM66","060619.SM89","060619.SM92","060619.SM95","090918.SM113","090918.SM12","090918.SM44","090918.SM59","3.1","4.8.08","6.14","PT.11","PT.12","PT.16","PT.23","PT.28","PT.36","PT.40","PT.52","PT.55","PT.56","PT.57","PT.58","PT.6","PT.68","PT.7","PT.8","PT.9"
"d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.88,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45,0,0,2.09,0,0,0.03,0,0,0,0,0
"d__Bacteria;__;__;__;__;__",0,0,0,0,0,0,0,0,0,1.88,0,0,11.53,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0.93,0.69,0,0,0,0,0,0,0,0,0.04,0,0,0.36,0,0
"d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriae;f__Acidobacteriae;g__Paludibaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0.78,10.86,4.49,15.03,5.53,0,2.37,7.16,0.96,0,0,5.16,2.02,0,3.17,1.66,1.18,0,0.66,1,0.54,0,0.77,4.62,0,0.89,3.26,6.51,6.26,5.29,0.52,8.34,11.28,3.17,4.29,2.48,3.24,9.96,4.09,1.03,0,1.93
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinotignum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__F0332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum",0.23,0,0,0,0,0,0,0,0,0,0,0,3.91,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,2.27,0,0,0,4.98,0.19,19.71,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium",623.9,5.27,1232.47,1439.95,503.87,28.71,12.74,2963.19,0,12.65,2.22,637.65,380.72,159.65,506.85,83.62,45.72,20.08,316.51,169.53,152.47,269.17,11.82,765.85,2.55,426.79,2183.85,463.8,2474.16,3665.25,687,2106.13,0,280.03,490.96,368.17,2060.69,113.92,2.6,661.85,11.68,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Scardovia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium",0,0,0,2.07,0,0,0,1.54,0.4,0,0,0,0,0,0,0,0,0,0.35,0,0,1.63,3.53,0.22,0.28,0.71,0,0,0,0,0,0,0.73,0,0,1.64,0.16,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Pseudoclavibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia",0,2.96,0,25.41,0,0,0,0,0.99,0,0,1.88,1.53,0,2.09,0,1.25,0,0,1.45,0.39,0,0,2.86,0,0.55,1.33,0,0,0.51,0,0,0,0,0,0,0,0,0,1.06,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium",0,12.69,0,2.31,4.52,0,0,0,0,0,0,0,1.15,0,1.18,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.57,0,0.54,0,0.54,0.44,0,0.23,0,1.28,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Libanicoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,3.09,4.21,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella",0,0,60.22,0,17.65,0,6.94,21.13,12.52,1.97,4.41,0,475.57,0,0,5.23,1.46,1.08,18.01,1.38,28.75,3.14,0,66.58,0,0,266.27,98.91,0,28.78,0,290.48,0,36.64,250.37,175.35,117.4,60.81,0,38.73,3.15,34.49
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Enorma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales_Incertae_Sedis;g__Raoultibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,4.44,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales_Incertae_Sedis;g__uncultured",0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,5.03,0,8.13,0,0,9.52,0,0,0.92,0,0,0,0,0,0,14.35,7.64,0,43.88,6,0,14.93,6.28,0,10.07,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;__",0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,5.78,8.29,0,3.79,10.64,8.36,1.06,1.56,5.56,0,0,1.23,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68,7.51,0,40.78,0,0,25.52,0,41.8,37.73,28.69,44.67,31.59,12.13,0,25.33,7.86,5.9,58.49,6.41,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Cryptobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella",3.47,0,16.87,0,0,1.53,1.37,1.56,7.75,0,2.15,98.29,0,6.67,0,0,0,0,5.05,0,0,0,63.68,0,1.42,15.98,0,0.5,8.15,0,11.15,9.48,20.07,3.2,0,5.07,4.13,5.96,40.84,2.87,30.08,4.32
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,1.44,11.03,19.74,14.68,5.19,5.2,12.34,0.94,34.87,2.46,0,10.27,0.88,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Paraeggerthella",0,0,0,0,0,0,0,0,0,0,0,0,51.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Parvibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Senegalimassilia",0,0,0,0,12.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
