#OTU ID	SM030818-1	SM030818-24	SM030818-33	SM030818-62	SM030818-66	SM030818-91	SM030818-92	SM030818-93	SM030818-94	SM030818-95	SM030818-96	SM030818-97	SM030818-98	SM030818-99	SM030818-100	SM030818-101	SM030818-102	SM030818-103	SM030818-104	SM030818-105	SM030818-106	SM030818-107	SM030818-108	SM030818-109	SM030818-110	SM030818-111	SM030818-121	SM030818-126	SM030818-128	SM030818-130	SM030818-131	SM030818-132	SM030818-133	SM030818-134	SM030818-135	SM030818-136	SM030818-138	SM030818-139	SM030818-140	SM030818-141	SM030818-142	SM030818-143	SM030818-144	SM030818-145	SM030818-146	SM030818-147	SM030818-148	SM111418-7	SM111418-12	SM111418-44	SM111418-52	SM111418-59	SM111418-94	SM111418-113	SM071219-60	SM071219-66	SM071219-71	SM071219-89	SM071219-92	SM071219-95
702459	6.20E-06	0.002003898	1.25E-05	0	0	0	0.000200569	0	0	0	0	0.008771335	0	0	0	0.000304617	1.42E-66	0	0	0	0.000678452	0.003402958	0	3.95E-05	7.26E-05	0	4.44E-05	0	0	0.001634656	3.97E-05	0.00033111	7.52E-05	2.04E-05	0.00427823	0.000216597	9.15E-05	0.0217519	0.008068229	0.030409688	0.000303828	0.000366265	0.000494026	0.000154619	0.023358019	1.49E-05	1.86E-18	0	0.00058961	3.25E-05	0	0.000894651	0	3.58E-05	5.34E-06	0.000111759	0	0.002623927	0.000145423	4.92E-05
702967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.43E-83	0	0	0	0	0	0	0	0	0	0	0
706191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.63E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
706587	1.05E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
709991	5.35E-197	4.52E-79	0	0	0	0	0	0	4.75E-55	0	0	0	0	0	5.66E-06	0	0	2.57E-29	2.18E-212	0	0.001108455	5.28E-107	0	0	1.18E-63	0	0	3.25E-08	0	0	0.000126449	1.07E-68	0.000811469	1.53E-05	2.59E-272	3.25E-152	5.51E-230	0	0.000312475	0	0.00E+00	0.00079507	0	0	0.000335207	0	8.25E-160	0	1.49E-18	0.009080885	0	1.85E-155	7.26E-06	0	0	0	0	0.002113975	0	6.86E-162
710685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.93E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
712122	1.74E-06	0	0	0	0	0	0	0	0	0	2.04E-05	6.43E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.61E-60	0	0	2.89E-06	0	1.99E-06	9.18E-07	8.50E-06	1.40E-05	4.42E-05	2.63E-05	2.57E-06	2.59E-05	0	6.08E-06	1.15E-05	0	0	0	0	7.13E-06	0	6.73E-06	6.67E-06	0	0	0	0	0
712357	0	0	0	0	0	0	2.64E-06	0.000661415	0	0	0	9.77E-102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.61E-05	0	0	0	0	0	0	0
712368	0	0	0	0	0	0	0	9.13E-22	0	0	5.02E-70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
712411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.52E-05	0	0	0	0	0	0	0	1.52E-05	0	0	0	7.27E-06	0	0	0	0	0	2.37E-06	1.09E-06	0	0	0	7.85E-06	0	1.58E-05	8.90E-06	0	0	0	0	0	0	1.70E-05	0	0	0	0	0	0	0	0
